year,source_category,quantity_co2e_tonnes,facility_id
2024,On-site Transportation,21.453751,1201
2023,Fugitives (Flaring),297.142,1568
2023,Fugitives (Leakage),691.766,1568
2023,Stationary Fuel Combustion,21025.637,1568
2023,Fugitives (Venting),11.09,1568
2024,Fugitives (Leakage),1.7,401
2024,Stationary Fuel Combustion,67612.3926,401
2024,Industrial Process,5.28377,401
2024,On-site Transportation,597.044,401
2023,Fugitives (Flaring),8004.887,1142
2023,Fugitives (Leakage),96.347511,1142
2023,Stationary Fuel Combustion,43218.69196,1142
2023,Fugitives (Venting),162.011485,1142
2022,Fugitives (Flaring),6371.334,1142
2022,Fugitives (Leakage),355.711,1142
2022,Stationary Fuel Combustion,35806.026,1142
2022,Fugitives (Venting),1229.925,1142
2024,Stationary Fuel Combustion,5610.8859,1161
2024,CO2 from Biomass Combustion,0.0,137
2024,Stationary Fuel Combustion,130911.0485,137
2024,Industrial Process,374545.8331,137
2024,On-site Transportation,823.0594,137
2024,Stationary Fuel Combustion,15624.47312,415
2024,Industrial Process,83.97,415
2024,On-site Transportation,6435.426,415
2024,Waste,1064.0,415
2024,Fugitives (Flaring),69626.9047,1841
2024,Fugitives (Leakage),8.4,1841
2024,Stationary Fuel Combustion,386.2672,1841
2024,On-site Transportation,541.7484,1841
2024,Fugitives (Venting),127.4505,1841
2024,Wastewater,30.4276,1841
2024,Fugitives (Flaring),24426.91191,193
2024,Fugitives (Leakage),2.930732,193
2024,Stationary Fuel Combustion,154234.6804,193
2024,Fugitives (Venting),3.962116,193
2024,Stationary Fuel Combustion,46480.3937,691
2024,Fugitives (Venting),705.1149,691
2024,Wastewater,92.8019,691
2023,Stationary Fuel Combustion,10395.598,1496
2023,On-site Transportation,610.498,1496
2024,CO2 from Biomass Combustion,0.0,214
2024,Fugitives (Flaring),765.21005,214
2024,Fugitives (Leakage),19000.996,214
2024,Stationary Fuel Combustion,234492.9119,214
2024,On-site Transportation,3029.11364,214
2024,Waste,150.7603,214
2024,Wastewater,16.0598,214
2024,CO2 from Biomass Combustion,0.0,739
2024,Stationary Fuel Combustion,15063.03133,739
2024,Industrial Process,51.7414,739
2024,Wastewater,144.5045,739
2024,Fugitives (Leakage),120.4,849
2024,Stationary Fuel Combustion,3808.962,849
2024,Industrial Process,6267.0,849
2024,Stationary Fuel Combustion,91479.31226,759
2023,Stationary Fuel Combustion,30196.3576,1013
2023,Industrial Process,10.7717,1013
2023,On-site Transportation,81.6867,1013
2023,Fugitives (Venting),11.3398,1013
2024,Stationary Fuel Combustion,11755.47119,786
2024,Industrial Process,76.583,786
2024,On-site Transportation,2120.854827,786
2024,Waste,392.962045,786
2024,Wastewater,53.64395,786
2024,Stationary Fuel Combustion,15445.7909,321
2024,Industrial Process,39.51,321
2024,On-site Transportation,135.71511,321
2024,Stationary Fuel Combustion,7725.948,104
